Date,Open,High,Low,Close
2023-10-25,1.08625,1.08838,1.08515,1.08592
2023-10-26,1.08591,1.09124,1.0845,1.0904
2023-10-27,1.09059,1.09704,1.08895,1.09281
2023-10-30,1.09352,1.09783,1.09197,1.09752
2023-10-31,1.09753,1.10668,1.09523,1.10546
2023-11-01,1.10544,1.10583,1.09987,1.10327
2023-11-02,1.10323,1.10621,1.09996,1.10515
2023-11-03,1.10515,1.1137,1.10382,1.113
2023-11-06,1.11212,1.1154,1.10929,1.11014
2023-11-07,1.11003,1.11083,1.10578,1.10707
2023-11-08,1.10702,1.10738,1.10256,1.10445
2023-11-09,1.10436,1.10789,1.10322,1.10355
2023-11-10,1.10353,1.1059,1.10032,1.10333
2023-11-13,1.10351,1.10863,1.10259,1.10707
2023-11-14,1.10694,1.11258,1.10663,1.11139
2023-11-15,1.1108,1.11125,1.10164,1.10232
2023-11-16,1.10228,1.10423,1.09965,1.10337
2023-11-17,1.10323,1.10381,1.099,1.10378
2023-11-20,1.10336,1.10705,1.1014,1.1064
2023-11-21,1.10629,1.10884,1.10571,1.10748
2023-11-22,1.10769,1.10891,1.10311,1.10489
2023-11-23,1.10442,1.11007,1.10345,1.10797
2023-11-24,1.10822,1.11259,1.10744,1.11211
2023-11-27,1.11174,1.11292,1.10999,1.11194
2023-11-28,1.11188,1.11529,1.11067,1.11461
2023-11-29,1.11484,1.11566,1.10855,1.10876
2023-11-30,1.10861,1.10936,1.09969,1.10512
2023-12-01,1.10505,1.10814,1.10164,1.10487
2023-12-04,1.10474,1.10895,1.10081,1.10254
2023-12-05,1.10233,1.10462,1.10129,1.10174
2023-12-06,1.10185,1.10345,1.09831,1.0986
2023-12-07,1.09853,1.10374,1.09816,1.10226
2023-12-08,1.10247,1.10565,1.09856,1.10393
2023-12-11,1.10421,1.10886,1.10252,1.10309
2023-12-12,1.10294,1.1035,1.09794,1.09987
2023-12-13,1.09973,1.10141,1.09589,1.09981
2023-12-14,1.09953,1.10764,1.09621,1.10689
2023-12-15,1.10715,1.10866,1.1003,1.10352
2023-12-18,1.10332,1.10443,1.09639,1.09693
2023-12-19,1.097,1.10153,1.09483,1.09562
2023-12-20,1.09564,1.09606,1.08815,1.09053
2023-12-21,1.0901,1.09071,1.08369,1.08593
2023-12-22,1.086,1.08958,1.08459,1.08682
2023-12-26,1.08625,1.08895,1.08519,1.08651
2023-12-27,1.08631,1.08826,1.07643,1.07891
2023-12-28,1.07896,1.07904,1.06369,1.07625
2023-12-29,1.07587,1.07651,1.06469,1.07222
2024-01-02,1.06977,1.07877,1.06923,1.0732
2024-01-03,1.07311,1.08001,1.0725,1.07534
2024-01-04,1.07528,1.08148,1.07492,1.07848
2024-01-05,1.0786,1.08206,1.07715,1.0816
2024-01-08,1.08119,1.08246,1.07848,1.081
2024-01-09,1.08114,1.08421,1.07952,1.08334
2024-01-10,1.08348,1.08574,1.08146,1.08399
2024-01-11,1.08394,1.08981,1.08122,1.08722
2024-01-12,1.08735,1.08925,1.0849,1.08615
2024-01-15,1.08679,1.08992,1.08597,1.08898
2024-01-16,1.089,1.09039,1.08693,1.08893
2024-01-17,1.08882,1.09896,1.08708,1.09641
2024-01-18,1.09599,1.10376,1.09532,1.10284
2024-01-19,1.10302,1.10386,1.10063,1.10287
2024-01-22,1.1032,1.10613,1.10154,1.10478
